ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado
734,08/02/2024,212,36,5,2,Completa
2043,8/2/2024,318,27,2,5,Completa
2335,8/2/2024,56,38,2,5,Completa
2770,8/2/2024,295,34,4,2,Completa
226,09/02/2024,3,11,4,1,Completa
1044,9/2/2024,69,29,1,5,Completa
1162,9/2/2024,104,17,2,3,Completa
1725,9/2/2024,293,25,6,4,Completa
1878,9/2/2024,214,17,3,4,Completa
2480,9/2/2024,278,22,1,1,Completa
2610,9/2/2024,78,1,6,4,Completa
2947,9/2/2024,28,6,5,4,Pendiente
117,10/02/2024,288,10,3,2,Pendiente
1102,10/2/2024,59,29,4,3,Completa
1217,10/2/2024,144,22,2,4,Completa
1363,10/2/2024,314,28,3,3,Pendiente
1600,10/2/2024,230,24,6,3,Completa
2719,10/2/2024,57,16,1,4,Completa
621,11/02/2024,166,3,3,3,Completa
995,11/02/2024,224,13,5,5,Completa
1218,11/2/2024,34,29,1,2,Completa
1362,11/2/2024,120,19,2,5,Pendiente
1651,11/2/2024,85,13,6,4,Completa
1680,11/2/2024,241,28,3,3,Completa
1754,11/2/2024,212,27,3,5,Completa
1934,11/2/2024,69,27,1,2,Completa
2534,11/2/2024,250,11,1,5,Completa
2642,11/2/2024,54,37,5,4,Completa
2703,11/2/2024,255,29,3,1,Pendiente
2874,11/2/2024,87,19,4,5,Completa
2933,11/2/2024,307,37,4,5,Completa
29,12/02/2024,205,38,2,3,Completa
237,12/02/2024,182,21,4,1,Completa
488,12/02/2024,47,14,2,5,Completa
1168,12/2/2024,286,4,4,5,Completa
1540,12/2/2024,273,14,6,3,Completa
2007,12/2/2024,288,14,2,4,Completa
2236,12/2/2024,295,18,4,5,Completa
8,13/02/2024,214,38,4,4,Completa
14,13/02/2024,171,22,4,3,Completa
459,13/02/2024,128,24,4,3,Completa
681,13/02/2024,14,29,3,3,Completa
821,13/02/2024,43,1,3,5,Pendiente
908,13/02/2024,141,11,4,4,Pendiente
1826,13/2/2024,300,20,1,1,Completa
2355,13/2/2024,150,35,2,5,Completa
2555,13/2/2024,130,33,3,5,Completa
2572,13/2/2024,258,26,4,1,Completa
2687,13/2/2024,73,29,4,5,Completa
2709,13/2/2024,304,12,2,1,Pendiente
681,13/02/2024,14,29,3,3,Completa
1271,14/2/2024,190,27,5,3,Completa
1975,14/2/2024,118,4,6,5,Completa
2076,14/2/2024,5,1,1,4,Completa
2559,14/2/2024,87,15,6,1,Pendiente
2763,14/2/2024,273,21,5,5,Completa
2801,14/2/2024,105,17,5,3,Completa
34,15/02/2024,325,35,5,2,Completa
294,15/02/2024,85,24,3,2,Completa
627,15/02/2024,312,24,6,5,Completa
696,15/02/2024,76,13,3,1,Completa
938,15/02/2024,204,1,1,4,Completa
1700,15/2/2024,158,33,4,4,Completa
1928,15/2/2024,310,35,1,1,Completa
2214,15/2/2024,187,7,5,5,Completa
2238,15/2/2024,231,12,3,4,Completa
2481,15/2/2024,166,4,2,5,Pendiente
2604,15/2/2024,319,23,1,5,Completa
696,15/02/2024,76,13,3,1,Completa
481,16/02/2024,109,19,3,3,Completa
641,16/02/2024,184,17,5,5,Completa
735,16/02/2024,183,20,2,1,Completa
779,16/02/2024,252,14,2,3,Completa
1174,16/2/2024,286,14,1,1,Completa
1253,16/2/2024,50,13,1,2,Completa
1263,16/2/2024,48,38,5,3,Completa
1479,16/2/2024,211,33,1,1,Completa
2323,16/2/2024,98,25,3,3,Completa
2362,16/2/2024,109,36,6,1,Completa
2771,16/2/2024,39,7,2,3,Completa
2937,16/2/2024,124,3,3,2,Completa
207,17/02/2024,203,20,2,5,Completa
297,17/02/2024,302,3,4,5,Pendiente
386,17/02/2024,250,32,6,5,Pendiente
572,17/02/2024,95,18,5,1,Completa
812,17/02/2024,280,7,4,3,Completa
1079,17/2/2024,8,31,6,3,Completa
1095,17/2/2024,326,2,5,5,Pendiente
1842,17/2/2024,224,29,2,1,Completa
1863,17/2/2024,46,26,5,4,Completa
2045,17/2/2024,97,8,3,4,Completa
2375,17/2/2024,82,38,1,3,Completa
2634,17/2/2024,31,15,6,5,Completa
77,18/02/2024,320,27,2,3,Completa
131,18/02/2024,17,23,5,4,Completa
166,18/02/2024,25,13,5,5,Completa
223,18/02/2024,221,29,1,5,Completa
236,18/02/2024,44,21,4,5,Pendiente
434,18/02/2024,90,23,1,5,Completa
539,18/02/2024,274,14,2,5,Completa
801,18/02/2024,37,27,3,1,Completa
1007,18/2/2024,77,11,6,5,Completa
1181,18/2/2024,171,17,4,4,Completa
1625,18/2/2024,145,38,4,3,Completa
1983,18/2/2024,63,27,4,5,Completa
2409,18/2/2024,252,15,4,5,Completa
2964,18/2/2024,269,7,2,1,Completa
53,19/02/2024,66,30,2,5,Completa
447,19/02/2024,249,27,5,1,Completa
454,19/02/2024,131,13,5,4,Completa
1332,19/2/2024,1,29,4,4,Completa
1722,19/2/2024,266,7,3,4,Completa
2134,19/2/2024,116,29,5,2,Completa
2310,19/2/2024,139,11,2,5,Completa
2926,19/2/2024,210,37,2,1,Completa
2969,19/2/2024,128,9,1,5,Completa
11,20/02/2024,237,25,6,1,Completa
110,20/02/2024,31,11,2,3,Completa
979,20/02/2024,30,29,5,1,Completa
1633,20/2/2024,27,11,5,4,Completa
2176,20/2/2024,48,12,5,1,Completa
2227,20/2/2024,239,8,4,5,Completa
2325,20/2/2024,13,2,4,4,Completa
2427,20/2/2024,57,35,2,1,Completa
2929,20/2/2024,28,11,1,3,Completa
168,21/02/2024,186,2,1,4,Completa
691,21/02/2024,175,14,1,1,Completa
851,21/02/2024,13,14,2,4,Completa
986,21/02/2024,273,7,4,1,Completa
1041,21/2/2024,312,9,3,3,Completa
2560,21/2/2024,249,33,3,5,Completa
2751,21/2/2024,19,2,5,4,Completa
2905,21/2/2024,226,5,4,4,Completa
691,21/02/2024,175,14,1,1,Completa
338,22/02/2024,103,12,2,3,Completa
407,22/02/2024,32,5,3,3,Completa
1184,22/2/2024,106,38,6,5,Completa
1200,22/2/2024,143,32,1,5,Pendiente
1792,22/2/2024,81,9,4,1,Completa
2027,22/2/2024,184,32,4,1,Completa
2206,22/2/2024,236,23,1,1,Completa
2235,22/2/2024,20,28,6,5,Completa
2449,22/2/2024,262,1,2,5,Pendiente
2527,22/2/2024,55,14,3,5,Completa
85,23/02/2024,91,4,5,2,Completa
784,23/02/2024,279,10,4,2,Completa
1586,23/2/2024,166,38,2,4,Pendiente
2869,23/2/2024,247,4,2,4,Completa
2982,23/2/2024,229,34,2,4,Completa
88,24/02/2024,176,37,1,5,Completa
267,24/02/2024,273,13,1,4,Pendiente
342,24/02/2024,109,7,3,3,Completa
783,24/02/2024,124,30,1,2,Completa
948,24/02/2024,218,11,1,4,Completa
1416,24/2/2024,31,38,2,5,Completa
1674,24/2/2024,75,23,4,5,Pendiente
1852,24/2/2024,230,1,4,5,Pendiente
2439,24/2/2024,142,7,3,5,Completa
2835,24/2/2024,57,3,5,5,Pendiente
134,25/02/2024,308,10,1,4,Completa
1999,25/2/2024,209,33,2,5,Completa
2155,25/2/2024,162,17,1,3,Pendiente
2309,25/2/2024,82,1,4,4,Pendiente
2331,25/2/2024,228,1,2,3,Completa
2729,25/2/2024,166,9,4,3,Completa
39,26/02/2024,183,26,2,4,Completa
577,26/02/2024,169,3,1,3,Completa
1287,26/2/2024,22,25,6,1,Completa
1830,26/2/2024,291,32,4,4,Completa
2067,26/2/2024,73,23,1,4,Completa
2978,26/2/2024,108,3,3,1,Completa
713,27/02/2024,64,14,2,4,Completa
1841,27/2/2024,37,38,6,5,Completa
2248,27/2/2024,16,22,1,4,Pendiente
2272,27/2/2024,85,16,6,4,Completa
2442,27/2/2024,266,26,3,5,Completa
2789,27/2/2024,35,22,5,1,Completa
2901,27/2/2024,34,19,1,4,Completa
89,28/02/2024,6,10,2,3,Completa
271,28/02/2024,66,6,6,4,Completa
545,28/02/2024,20,26,4,4,Completa
795,28/02/2024,256,25,6,5,Completa
1749,28/2/2024,95,33,1,5,Completa
2047,28/2/2024,117,17,1,5,Completa
2294,28/2/2024,316,35,2,1,Completa
2346,28/2/2024,274,25,4,3,Completa
2460,28/2/2024,301,15,5,4,Completa
2550,28/2/2024,138,23,4,3,Pendiente
2600,28/2/2024,187,25,4,5,Completa
3,29/02/2024,31,21,3,3,Completa
123,29/02/2024,169,32,5,5,Completa
452,29/02/2024,115,4,5,4,Completa
1037,29/2/2024,48,30,6,4,Completa
1190,29/2/2024,119,21,1,3,Completa
1313,29/2/2024,95,13,2,3,Completa
1713,29/2/2024,265,14,2,4,Completa
1907,29/2/2024,278,12,3,5,Pendiente
2059,29/2/2024,84,20,6,3,Completa
2606,29/2/2024,221,7,2,4,Completa
66,01/03/2024,97,27,3,5,Completa
183,01/03/2024,31,38,3,3,Completa
1188,1/3/2024,255,27,3,5,Pendiente
1422,1/3/2024,58,2,1,4,Completa
1465,1/3/2024,36,14,2,5,Completa
1535,1/3/2024,255,8,1,3,Completa
2280,1/3/2024,134,18,1,4,Completa
2668,1/3/2024,117,19,5,1,Pendiente
2845,1/3/2024,71,5,6,3,Completa
72,02/03/2024,144,23,5,2,Completa
786,02/03/2024,292,19,6,4,Pendiente
2094,2/3/2024,276,25,5,3,Completa
2278,2/3/2024,163,5,3,5,Completa
95,03/03/2024,67,14,5,4,Completa
365,03/03/2024,90,8,5,5,Completa
382,03/03/2024,208,12,1,3,Completa
428,03/03/2024,308,28,4,5,Completa
610,03/03/2024,197,38,3,4,Pendiente
1069,3/3/2024,37,26,1,5,Completa
1164,3/3/2024,97,12,3,4,Pendiente
1214,3/3/2024,67,5,1,4,Completa
1501,3/3/2024,42,29,5,5,Completa
1730,3/3/2024,160,33,6,3,Completa
1867,3/3/2024,132,22,6,5,Pendiente
2042,3/3/2024,221,22,6,5,Completa
2327,3/3/2024,62,26,4,5,Completa
2391,3/3/2024,271,32,1,4,Completa
2420,3/3/2024,17,1,2,2,Completa
2778,3/3/2024,64,32,1,4,Completa
275,04/03/2024,27,11,5,4,Completa
298,04/03/2024,158,1,3,4,Completa
1531,4/3/2024,326,14,1,3,Pendiente
1737,4/3/2024,149,21,5,5,Completa
2547,4/3/2024,80,2,5,3,Completa
2913,4/3/2024,283,10,6,5,Completa
290,05/03/2024,123,31,4,2,Completa
408,05/03/2024,7,12,5,3,Completa
1171,5/3/2024,8,14,5,3,Completa
1589,5/3/2024,112,26,2,4,Pendiente
2479,5/3/2024,85,34,5,5,Completa
2669,5/3/2024,68,2,5,1,Pendiente
28,06/03/2024,240,23,3,3,Pendiente
311,06/03/2024,68,24,6,4,Completa
916,06/03/2024,307,17,3,3,Pendiente
1524,6/3/2024,292,34,2,5,Completa
2157,6/3/2024,193,2,1,3,Completa
2301,6/3/2024,321,7,1,1,Completa
2665,6/3/2024,36,20,6,5,Pendiente
210,07/03/2024,215,35,3,4,Completa
556,07/03/2024,104,23,5,1,Pendiente
606,07/03/2024,46,20,2,5,Completa
820,07/03/2024,148,7,3,5,Completa
1185,7/3/2024,58,22,2,4,Pendiente
1444,7/3/2024,23,25,4,4,Completa
1756,7/3/2024,309,13,5,4,Completa
1796,7/3/2024,32,4,2,4,Completa
2156,7/3/2024,193,26,5,1,Completa
2175,7/3/2024,255,3,1,4,Completa
2183,7/3/2024,38,36,4,1,Completa
2366,7/3/2024,222,17,2,4,Completa
2732,7/3/2024,311,4,6,3,Completa
54,08/03/2024,108,13,1,2,Completa
438,08/03/2024,307,29,5,2,Completa
620,08/03/2024,257,21,6,3,Completa
876,08/03/2024,42,23,3,2,Completa
1226,8/3/2024,91,35,6,5,Completa
1463,8/3/2024,299,17,4,2,Completa
1577,8/3/2024,25,26,5,4,Pendiente
2398,8/3/2024,203,30,1,4,Completa
362,09/03/2024,30,15,2,4,Completa
444,09/03/2024,164,9,6,5,Completa
790,09/03/2024,119,24,6,1,Completa
1634,9/3/2024,206,14,3,5,Pendiente
1788,9/3/2024,180,2,2,4,Completa
2512,9/3/2024,87,36,1,4,Completa
2769,9/3/2024,33,24,6,3,Completa
35,10/03/2024,62,9,6,3,Completa
152,10/03/2024,64,11,5,4,Completa
1142,10/3/2024,164,13,6,1,Completa
1639,10/3/2024,230,26,5,4,Completa
1957,10/3/2024,217,37,2,1,Completa
2678,10/3/2024,11,31,6,5,Pendiente
923,11/03/2024,172,2,1,1,Completa
1148,11/3/2024,67,25,5,4,Pendiente
1564,11/3/2024,238,23,2,2,Completa
2058,11/3/2024,206,9,2,4,Completa
2132,11/3/2024,215,11,3,3,Completa
2253,11/3/2024,278,2,2,2,Completa
437,12/03/2024,211,15,5,1,Completa
971,12/03/2024,213,29,6,4,Completa
2019,12/3/2024,49,13,6,4,Completa
2291,12/3/2024,69,6,6,5,Completa
2416,12/3/2024,49,11,5,4,Completa
2519,12/3/2024,30,3,6,1,Completa
2524,12/3/2024,117,9,2,3,Pendiente
2989,12/3/2024,147,31,6,3,Completa
426,13/03/2024,100,17,4,4,Completa
537,13/03/2024,262,3,6,2,Completa
656,13/03/2024,35,6,5,3,Completa
756,13/03/2024,81,12,4,4,Completa
762,13/03/2024,81,3,5,1,Completa
1808,13/3/2024,303,11,5,2,Completa
1970,13/3/2024,167,10,1,2,Completa
2180,13/3/2024,74,18,5,3,Completa
2260,13/3/2024,54,1,3,5,Completa
2274,13/3/2024,213,35,1,1,Completa
31,14/03/2024,267,2,1,3,Completa
124,14/03/2024,173,13,5,3,Completa
225,14/03/2024,104,38,3,4,Pendiente
607,14/03/2024,251,9,5,2,Completa
705,14/03/2024,185,17,2,1,Completa
1033,14/3/2024,78,1,3,5,Completa
1228,14/3/2024,291,1,6,1,Completa
1537,14/3/2024,138,37,1,1,Completa
1864,14/3/2024,15,10,5,4,Completa
2545,14/3/2024,233,12,1,4,Completa
2973,14/3/2024,134,7,3,3,Completa
817,15/03/2024,31,3,2,4,Completa
1494,15/3/2024,157,23,3,1,Completa
1601,15/3/2024,313,34,4,1,Completa
1618,15/3/2024,14,18,3,5,Pendiente
1622,15/3/2024,211,16,2,5,Completa
1646,15/3/2024,143,8,3,3,Completa
2073,15/3/2024,283,11,4,4,Completa
2107,15/3/2024,299,3,5,3,Completa
2204,15/3/2024,55,28,1,5,Completa
2660,15/3/2024,28,7,6,4,Completa
2808,15/3/2024,11,38,6,4,Completa
40,16/03/2024,125,34,6,1,Completa
42,16/03/2024,259,32,5,5,Completa
199,16/03/2024,226,30,4,4,Pendiente
1083,16/3/2024,111,26,5,4,Completa
1085,16/3/2024,232,20,3,3,Completa
1111,16/3/2024,65,16,2,3,Completa
1249,16/3/2024,77,21,1,3,Completa
1561,16/3/2024,200,22,5,4,Completa
1708,16/3/2024,68,16,1,4,Completa
2201,16/3/2024,63,34,6,5,Completa
2264,16/3/2024,87,11,6,5,Completa
2689,16/3/2024,108,30,5,4,Completa
2740,16/3/2024,224,7,5,4,Completa
2951,16/3/2024,229,32,1,4,Completa
18,17/03/2024,179,10,3,4,Completa
827,17/03/2024,246,8,2,5,Completa
875,17/03/2024,321,15,6,5,Completa
884,17/03/2024,312,16,5,2,Pendiente
1121,17/3/2024,88,34,3,5,Pendiente
1137,17/3/2024,295,32,6,3,Completa
1290,17/3/2024,323,25,5,3,Completa
1682,17/3/2024,48,38,4,4,Completa
2091,17/3/2024,44,21,3,5,Completa
2261,17/3/2024,305,4,6,4,Completa
2478,17/3/2024,109,29,3,3,Completa
414,18/03/2024,151,35,3,5,Completa
1133,18/3/2024,313,32,4,5,Completa
1156,18/3/2024,37,2,3,1,Completa
1545,18/3/2024,8,19,2,1,Completa
2135,18/3/2024,50,31,6,4,Completa
2917,18/3/2024,17,35,5,3,Pendiente
2981,18/3/2024,36,11,2,4,Completa
44,19/03/2024,122,30,2,4,Completa
208,19/03/2024,66,29,3,1,Completa
1357,19/3/2024,71,23,5,1,Pendiente
1777,19/3/2024,113,3,2,5,Completa
1874,19/3/2024,92,15,4,3,Completa
2112,19/3/2024,119,22,4,2,Pendiente
2563,19/3/2024,99,15,4,4,Completa
2585,19/3/2024,323,19,1,1,Completa
2628,19/3/2024,195,14,5,2,Completa
118,20/03/2024,26,25,4,5,Completa
741,20/03/2024,222,31,6,5,Completa
968,20/03/2024,3,23,3,4,Completa
1071,20/3/2024,135,14,6,4,Completa
1108,20/3/2024,270,25,6,2,Pendiente
1130,20/3/2024,213,4,2,2,Completa
1903,20/3/2024,278,33,2,5,Completa
1920,20/3/2024,184,36,6,3,Completa
1984,20/3/2024,321,38,2,1,Pendiente
2054,20/3/2024,209,37,3,5,Completa
2720,20/3/2024,145,7,4,3,Completa
911,21/03/2024,288,19,1,4,Completa
1096,21/3/2024,204,37,5,4,Completa
1098,21/3/2024,178,25,3,4,Completa
1473,21/3/2024,255,18,1,5,Pendiente
1606,21/3/2024,278,27,6,4,Completa
1998,21/3/2024,279,31,1,1,Pendiente
2243,21/3/2024,326,18,2,2,Completa
2397,21/3/2024,238,32,2,3,Completa
416,22/03/2024,110,29,2,4,Completa
608,22/03/2024,105,14,5,3,Completa
1028,22/3/2024,267,31,3,4,Completa
1118,22/3/2024,106,13,2,1,Completa
1210,22/3/2024,266,6,4,5,Completa
1504,22/3/2024,168,3,4,4,Completa
1773,22/3/2024,88,25,4,5,Completa
1809,22/3/2024,90,31,3,3,Completa
2040,22/3/2024,313,12,5,1,Completa
2251,22/3/2024,238,36,4,5,Completa
2372,22/3/2024,177,8,1,1,Completa
2907,22/3/2024,207,6,2,3,Completa
405,23/03/2024,122,16,2,4,Pendiente
970,23/03/2024,212,16,6,3,Completa
1795,23/3/2024,1,12,6,4,Completa
1814,23/3/2024,175,4,4,1,Completa
2258,23/3/2024,17,33,3,4,Completa
2467,23/3/2024,25,4,3,5,Completa
2815,23/3/2024,171,1,6,5,Completa
785,24/03/2024,132,9,5,5,Completa
1549,24/3/2024,260,17,1,2,Completa
1942,24/3/2024,41,31,1,4,Pendiente
1947,24/3/2024,288,29,2,5,Completa
2008,24/3/2024,162,15,4,4,Completa
2861,24/3/2024,147,21,5,4,Completa
113,25/03/2024,72,19,1,3,Pendiente
170,25/03/2024,269,20,3,4,Completa
378,25/03/2024,199,25,1,4,Completa
1139,25/3/2024,8,36,5,1,Completa
1399,25/3/2024,90,27,2,3,Completa
1710,25/3/2024,131,27,1,3,Completa
1866,25/3/2024,272,5,5,1,Completa
2164,25/3/2024,292,36,5,5,Completa
2854,25/3/2024,208,33,2,5,Pendiente
2993,25/3/2024,117,4,2,1,Completa
464,26/03/2024,323,5,4,4,Completa
469,26/03/2024,134,17,4,4,Completa
1025,26/3/2024,288,15,3,5,Pendiente
1125,26/3/2024,9,26,5,4,Pendiente
1321,26/3/2024,94,6,4,1,Completa
1556,26/3/2024,65,8,2,1,Completa
1667,26/3/2024,81,24,6,3,Completa
2182,26/3/2024,116,2,6,2,Completa
2570,26/3/2024,17,7,6,5,Completa
2623,26/3/2024,237,3,5,4,Completa
2683,26/3/2024,14,28,1,2,Completa
172,27/03/2024,268,24,6,1,Completa
295,27/03/2024,223,32,6,2,Completa
559,27/03/2024,97,24,5,2,Completa
737,27/03/2024,48,30,1,5,Completa
1278,27/3/2024,11,29,5,4,Pendiente
1312,27/3/2024,215,35,5,3,Completa
1627,27/3/2024,323,13,1,5,Completa
1666,27/3/2024,56,25,1,3,Completa
1679,27/3/2024,273,38,4,3,Completa
2048,27/3/2024,261,25,3,4,Completa
2225,27/3/2024,269,34,1,4,Completa
2630,27/3/2024,223,19,5,3,Completa
249,28/03/2024,1,31,2,5,Pendiente
279,28/03/2024,54,10,4,4,Completa
321,28/03/2024,205,35,4,5,Completa
669,28/03/2024,44,19,4,3,Completa
988,28/03/2024,266,21,5,2,Completa
1086,28/3/2024,40,22,6,5,Completa
1153,28/3/2024,130,27,6,3,Completa
2507,28/3/2024,243,33,3,4,Completa
669,28/03/2024,44,19,4,3,Completa
86,29/03/2024,188,30,2,4,Completa
189,29/03/2024,170,30,1,1,Completa
468,29/03/2024,45,17,5,1,Completa
511,29/03/2024,98,31,6,3,Completa
1129,29/3/2024,275,36,4,4,Pendiente
1169,29/3/2024,8,28,5,4,Completa
1409,29/3/2024,86,14,6,4,Completa
1828,29/3/2024,52,14,2,2,Completa
2142,29/3/2024,165,23,2,1,Pendiente
265,30/03/2024,257,28,1,1,Completa
432,30/03/2024,197,25,5,3,Completa
1624,30/3/2024,71,1,2,5,Completa
2580,30/3/2024,287,22,4,3,Pendiente
2863,30/3/2024,194,1,5,5,Completa
2891,30/3/2024,76,7,1,4,Completa
209,31/03/2024,311,35,3,2,Completa
293,31/03/2024,310,35,3,3,Completa
433,31/03/2024,218,29,6,5,Completa
590,31/03/2024,194,13,6,1,Completa
853,31/03/2024,176,35,2,4,Completa
1045,31/3/2024,258,32,3,4,Completa
1705,31/3/2024,321,18,4,1,Completa
1976,31/3/2024,299,18,6,5,Completa
2213,31/3/2024,230,19,4,2,Pendiente
2303,1/4/2024,314,2,1,5,Pendiente
2326,1/4/2024,201,26,3,5,Completa
2385,1/4/2024,76,12,4,3,Completa
2611,1/4/2024,63,1,4,5,Completa
2914,1/4/2024,66,22,6,4,Pendiente
160,02/04/2024,106,25,6,4,Completa
837,02/04/2024,102,4,3,1,Completa
1224,2/4/2024,60,4,3,5,Pendiente
1819,2/4/2024,192,22,5,1,Pendiente
1968,2/4/2024,285,12,2,5,Pendiente
2413,2/4/2024,248,31,5,4,Completa
2465,2/4/2024,240,9,3,2,Completa
2899,2/4/2024,163,34,5,1,Pendiente
232,03/04/2024,144,24,3,3,Completa
339,03/04/2024,81,21,1,3,Completa
844,03/04/2024,258,22,2,2,Pendiente
1687,3/4/2024,160,23,6,5,Completa
1704,3/4/2024,104,3,4,4,Completa
1913,3/4/2024,78,33,5,4,Completa
2532,3/4/2024,28,13,5,4,Completa
2571,3/4/2024,54,18,5,4,Completa
2641,3/4/2024,172,8,3,3,Completa
2795,3/4/2024,39,8,5,4,Completa
2954,3/4/2024,237,27,6,3,Completa
2961,3/4/2024,141,25,2,1,Completa
327,04/04/2024,203,27,4,2,Completa
491,04/04/2024,25,5,5,5,Completa
1175,4/4/2024,189,17,3,1,Completa
1417,4/4/2024,126,13,5,3,Completa
1782,4/4/2024,145,13,2,3,Completa
1872,4/4/2024,239,16,6,1,Completa
2844,4/4/2024,213,22,3,5,Completa
2879,4/4/2024,186,3,5,4,Completa
245,05/04/2024,101,32,4,4,Completa
799,05/04/2024,55,19,1,5,Pendiente
905,05/04/2024,151,3,2,4,Completa
1195,5/4/2024,47,16,3,3,Completa
2276,5/4/2024,62,23,6,4,Pendiente
2884,5/4/2024,307,32,3,1,Completa
2945,5/4/2024,245,20,1,5,Completa
2995,5/4/2024,38,34,5,5,Completa
10,06/04/2024,232,37,2,3,Completa
1068,6/4/2024,318,6,3,5,Completa
1960,6/4/2024,266,30,3,5,Completa
2718,6/4/2024,157,32,1,5,Completa
395,07/04/2024,75,32,5,5,Completa
453,07/04/2024,75,12,2,4,Completa
657,07/04/2024,57,36,1,4,Completa
1220,7/4/2024,224,38,5,3,Completa
2084,7/4/2024,138,33,4,3,Completa
2726,7/4/2024,166,17,6,4,Completa
2731,7/4/2024,132,5,3,1,Pendiente
108,08/04/2024,153,17,4,4,Completa
581,08/04/2024,297,6,1,3,Pendiente
1470,8/4/2024,38,24,5,5,Completa
1834,8/4/2024,141,7,1,5,Completa
1840,8/4/2024,241,12,6,3,Completa
2140,8/4/2024,174,9,1,4,Completa
2885,8/4/2024,245,24,1,2,Completa
80,09/04/2024,313,25,6,3,Completa
600,09/04/2024,142,14,2,4,Completa
962,09/04/2024,275,8,2,4,Completa
1331,9/4/2024,51,11,2,4,Completa
1474,9/4/2024,321,9,1,4,Completa
2341,9/4/2024,23,10,3,5,Completa
2716,9/4/2024,162,15,4,3,Completa
2920,9/4/2024,207,35,2,3,Completa
102,10/04/2024,282,26,1,3,Completa
239,10/04/2024,197,37,6,5,Completa
532,10/04/2024,233,1,3,1,Completa
1046,10/4/2024,288,1,5,3,Completa
1612,10/4/2024,68,20,4,4,Pendiente
1904,10/4/2024,231,12,4,4,Completa
2490,10/4/2024,162,26,3,5,Completa
2758,10/4/2024,273,23,2,4,Completa
2785,10/4/2024,191,17,6,5,Completa
354,11/04/2024,195,29,6,1,Completa
677,11/04/2024,291,10,3,5,Completa
873,11/04/2024,72,26,1,4,Completa
1110,11/4/2024,284,12,2,4,Completa
2469,11/4/2024,79,36,4,5,Pendiente
2561,11/4/2024,133,19,3,1,Completa
677,11/04/2024,291,10,3,5,Completa
379,12/04/2024,67,2,4,1,Completa
831,12/04/2024,94,19,4,3,Pendiente
1143,12/4/2024,266,20,2,5,Completa
1149,12/4/2024,272,24,5,5,Completa
1157,12/4/2024,90,11,4,3,Completa
1299,12/4/2024,223,16,3,3,Completa
1647,12/4/2024,74,9,4,4,Completa
1698,12/4/2024,272,3,5,5,Completa
1915,12/4/2024,21,27,4,4,Completa
2137,12/4/2024,202,5,1,4,Completa
2229,12/4/2024,312,27,2,1,Completa
